,Справочник сортов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ответственные: Давыденко Виктор Николаевич, Монаенкова Ольга Юрьевна (главные агрономы кластеров), Сошина Варвара Михайловна (директор по качеству)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Этап валидации:,,,,Согласовано с главными агрономами,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласовано с Сошиной В.М.,Согласован с гласными агрономами 20.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Общие данные,,,,,Органолептические показатели ,,,,,,,,,Характеристики хранения,,,,,,Календарь фенофаз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Сорт,Категория сорта,Группа сорта,Категория реализации,Покровная окраска,"Кислотность (от), г/л","Кислотность (до), г/л","BRIX (от), %","Твердость, кг/см2","Зрелость, средний балл (от) (1-10)","Зрелость, средний балл (до) (1-10)",СКИ (от),СКИ (до),"СКИ, общее значение сорта",Лежкость (1-3),Поведение при хранении (от) (CA/ULO мес.),Поведение при хранении (до) (CA/ULO мес.),"Оптимальная температура хранения (от), °С","Оптимальная температура хранения (до), °С","Пороговая температура хранения, °С",Состояние покоя - дата начала,Состояние покоя - дата окончания,Зеленый конус - дата начала,Зеленый конус - дата окончания,"""Мышиные ушки"" - дата начала","""Мышиные ушки"" - дата окончания",Выдвижение бутонов - дата начала,Выдвижение бутонов - дата окончания,Розовый бутон - дата начала,Розовый бутон - дата окончания,Начало цветения - дата начала,Начало цветения - дата окончания,Полное цветение - дата начала,Полное цветение - дата окончания,Конец цветения - дата начала,Конец цветения - дата окончания,Завязь 10 мм - дата начала,Завязь 10 мм - дата окончания,"Размер плода ""лещина"" - дата начала","Размер плода ""лещина"" - дата окончания","Размер плода ""грецкий орех"" - дата начала","Размер плода ""грецкий орех"" - дата окончания",Интенсивный рост плодов - дата начала,Интенсивный рост плодов - дата окончания,Созревание плодов - дата начала,Созревание плодов - дата окончания,Уборка плодов - дата начала,Уборка плодов - дата окончания,Подготовка к состоянию покоя - дата начала,Подготовка к состоянию покоя - дата окончания
1,Альва,premium,Целевые,Invest,Ярко-красный размытый румянец с полосами и штрихами,5.5,7,13,7,6,8,18.6,23.6,21.1,3,6,8,1,3,1,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,05.09,06.09,15.09,16.09,25.09,26.09,31.10
1,Амброзия,premium,Основные,Core,Розово-красный блаш на жёлто-зелёном фоне,3,5,14.5,7,6,8,29.0,48.3,38.7,3,6,8,2,3,2,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,12.09,13.09,22.09,23.09,02.10,03.10,31.10
1,Антоновка,premium,Основные,Core,"Без румянца или очень слабый, основная зелёно-жёлтая",8.5,9.5,11,7.5,5,7,11.6,12.9,12.3,1,1,2,2,3,2,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,16.08,17.08,26.08,27.08,31.08,01.09,31.10
1,Богатырь,premium,Целевые,Invest,Ярко-красный размытый румянец с полосами на солнечной стороне,6.5,9,11,8,2,5,12.2,16.9,14.6,3,6,8,1,3,1,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,18.08,19.08,28.08,29.08,12.09,13.09,31.10
1,Гала,premium,Основные,Core,Оранжево-красные полосы на жёлтой основе,4,5.9,14,7,6,8,23.7,35.0,29.4,3,6,8,1,3,1,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,03.09,04.09,14.09,15.09,24.09,25.09,31.10
1,Жигулевское,middle,Другие,Commodities,"Интенсивный красно-полосатый расплывшийся румянец, иногда почти весь плод",6,7,11.5,7,6,8,16.4,19.2,17.8,2,3,5,1,3,1,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,12.08,13.08,17.08,18.08,27.08,28.08,31.10
1,Жеромин,premium,Основные,Core,"Очень интенсивная тёмно-красная, почти сплошная",5.1,5.9,12,7,6,8,20.3,23.5,21.9,3,6,8,1,3,1,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,24.09,25.09,03.10,04.10,13.10,14.10,31.10
1,Космик Крисп,premium,Целевые,Invest,Би-колор: красный striped blush на 55–80 % поверхности,4.6,7,14,8,6,8,20.0,30.4,25.2,3,6,8,2,3,2,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,24.09,25.09,03.10,04.10,13.10,14.10,31.10
1,Либерти,premium,Другие,Core,Жёлтая основа с красными overtones,5.5,8.5,12,7,5,7,14.1,21.8,18.0,2,3,5,1,3,1,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,12.09,13.09,22.09,23.09,29.09,30.09,31.10
1,Либерти Органик,premium,Целевые,Invest,Жёлтая основа с красными overtones,5.5,8.5,12,7,5,7,14.1,21.8,18.0,2,3,5,1,3,1,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,12.09,13.09,22.09,23.09,29.09,30.09,31.10
1,Лигол,middle,Основные,Commodities,Интенсивный красно-карминовый размытый румянец почти по всей поверхности,5,7,13,6,6,8,18.6,26.0,22.3,3,6,8,1,3,1,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,09.09,10.09,19.09,20.09,04.10,05.10,31.10
1,Лобо,middle,Основные,Core,Почти полностью покрыт малиново-красным мраморовидным румянцем,6,7,12,6,5,7,17.1,20.0,18.6,2,3,5,2,3,2,01.11,10.04,11.04,15.04,16.04,20.04,21.04,23.04,24.04,30.04,01.05,10.05,11.05,20.05,21.05,31.05,01.06,10.06,11.06,20.06,21.06,10.07,11.07,16.08,17.08,26.08,27.08,05.09,06.09,31.10
